Pression au niveau mer,Variation de pression en 3 heures,Type de tendance barometrique,Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Temperature,Point de rosee,Humidite,Visibilite horizontale,Temps present,Pression station,Rafales sur une periode,Periode de mesure de la rafale,Precipitations dans la derniere heure,Precipitations dans les 3 dernieres heures,Temperature (C),datemonth
101480,-230,6,80,4.6,282.55,280.85,89,25000,2,101380,9.3,-10,0,0,9.4,1
101520,100,3,350,4.6,282.25,280.35,88,25000,2,101420,6.7,-10,0,0,9.1,1
